date,pid,race,lane,rank,st,decision,win
20250809,07,1R,1,1.0,0.1,逃げ,1.0
20250809,07,1R,2,5.0,0.2,逃げ,0.0
20250809,07,1R,3,3.0,0.22,逃げ,0.0
20250809,07,1R,4,2.0,0.21,逃げ,0.0
20250809,07,1R,5,4.0,0.19,逃げ,0.0
20250809,07,1R,6,6.0,0.23,逃げ,0.0
20250809,07,2R,1,1.0,0.21,逃げ,1.0
20250809,07,2R,2,2.0,0.1,逃げ,0.0
20250809,07,2R,3,3.0,0.17,逃げ,0.0
20250809,07,2R,4,5.0,0.16,逃げ,0.0
20250809,07,2R,5,6.0,0.15,逃げ,0.0
20250809,07,2R,6,4.0,0.13,逃げ,0.0
20250809,07,3R,1,5.0,0.17,まくり,0.0
20250809,07,3R,2,4.0,0.17,まくり,0.0
20250809,07,3R,3,6.0,0.14,まくり,0.0
20250809,07,3R,4,1.0,0.01,まくり,1.0
20250809,07,3R,5,2.0,0.03,まくり,0.0
20250809,07,3R,6,3.0,0.08,まくり,0.0
20250809,07,4R,1,3.0,0.2,差し,0.0
20250809,07,4R,2,1.0,0.13,差し,1.0
20250809,07,4R,3,4.0,0.09,差し,0.0
20250809,07,4R,4,6.0,0.13,差し,0.0
20250809,07,4R,5,5.0,0.18,差し,0.0
20250809,07,4R,6,2.0,0.14,差し,0.0
20250809,07,5R,1,4.0,0.38,まくり,0.0
20250809,07,5R,2,1.0,0.25,まくり,1.0
20250809,07,5R,3,6.0,0.34,まくり,0.0
20250809,07,5R,4,5.0,0.3,まくり,0.0
20250809,07,5R,5,3.0,0.23,まくり,0.0
20250809,07,5R,6,2.0,0.18,まくり,0.0
20250809,07,6R,1,4.0,0.19,まくり差し,0.0
20250809,07,6R,2,6.0,0.17,まくり差し,0.0
20250809,07,6R,3,2.0,0.1,まくり差し,0.0
20250809,07,6R,4,5.0,0.17,まくり差し,0.0
20250809,07,6R,5,1.0,0.23,まくり差し,1.0
20250809,07,6R,6,3.0,0.22,まくり差し,0.0
20250809,07,7R,1,1.0,0.14,逃げ,1.0
20250809,07,7R,2,2.0,0.13,逃げ,0.0
20250809,07,7R,3,5.0,0.1,逃げ,0.0
20250809,07,7R,4,3.0,0.14,逃げ,0.0
20250809,07,7R,5,4.0,0.12,逃げ,0.0
20250809,07,7R,6,6.0,0.18,逃げ,0.0
20250809,07,8R,1,3.0,0.19,まくり,0.0
20250809,07,8R,2,1.0,0.13,まくり,1.0
20250809,07,8R,3,2.0,0.16,まくり,0.0
20250809,07,8R,4,6.0,0.19,まくり,0.0
20250809,07,8R,5,5.0,0.13,まくり,0.0
20250809,07,8R,6,4.0,0.11,まくり,0.0
20250809,07,9R,1,1.0,0.13,逃げ,1.0
20250809,07,9R,2,6.0,0.16,逃げ,0.0
20250809,07,9R,3,3.0,0.17,逃げ,0.0
20250809,07,9R,4,2.0,0.13,逃げ,0.0
20250809,07,9R,5,4.0,0.18,逃げ,0.0
20250809,07,9R,6,5.0,0.27,逃げ,0.0
20250809,07,10R,1,1.0,0.05,逃げ,1.0
20250809,07,10R,2,4.0,0.03,逃げ,0.0
20250809,07,10R,3,2.0,0.04,逃げ,0.0
20250809,07,10R,4,3.0,0.11,逃げ,0.0
20250809,07,10R,5,6.0,0.14,逃げ,0.0
20250809,07,10R,6,5.0,0.11,逃げ,0.0
20250809,07,11R,1,1.0,0.13,逃げ,1.0
20250809,07,11R,2,5.0,0.17,逃げ,0.0
20250809,07,11R,3,2.0,0.11,逃げ,0.0
20250809,07,11R,4,3.0,0.11,逃げ,0.0
20250809,07,11R,5,4.0,0.11,逃げ,0.0
20250809,07,11R,6,6.0,0.1,逃げ,0.0
20250809,07,12R,1,1.0,0.2,逃げ,1.0
20250809,07,12R,2,2.0,0.16,逃げ,0.0
20250809,07,12R,3,,0.13,逃げ,
20250809,07,12R,4,3.0,0.17,逃げ,0.0
20250809,07,12R,5,5.0,0.19,逃げ,0.0
20250809,07,12R,6,4.0,0.19,逃げ,0.0
