date,pid,race,lane,rank,st,decision,win
20250811,23,1R,1,2.0,0.19,まくり差し,0.0
20250811,23,1R,2,4.0,0.28,まくり差し,0.0
20250811,23,1R,3,5.0,0.37,まくり差し,0.0
20250811,23,1R,4,1.0,0.18,まくり差し,1.0
20250811,23,1R,5,3.0,0.15,まくり差し,0.0
20250811,23,1R,6,6.0,0.23,まくり差し,0.0
20250811,23,2R,1,1.0,0.11,逃げ,1.0
20250811,23,2R,2,3.0,0.05,逃げ,0.0
20250811,23,2R,3,2.0,0.04,逃げ,0.0
20250811,23,2R,4,4.0,0.09,逃げ,0.0
20250811,23,2R,5,6.0,0.06,逃げ,0.0
20250811,23,2R,6,5.0,0.31,逃げ,0.0
20250811,23,3R,1,2.0,0.17,まくり差し,0.0
20250811,23,3R,2,6.0,0.14,まくり差し,0.0
20250811,23,3R,3,1.0,0.14,まくり差し,1.0
20250811,23,3R,4,5.0,0.22,まくり差し,0.0
20250811,23,3R,5,3.0,0.11,まくり差し,0.0
20250811,23,3R,6,4.0,0.19,まくり差し,0.0
20250811,23,4R,1,6.0,0.38,抜き,0.0
20250811,23,4R,2,2.0,0.17,抜き,0.0
20250811,23,4R,3,3.0,0.23,抜き,0.0
20250811,23,4R,4,5.0,0.16,抜き,0.0
20250811,23,4R,5,4.0,0.23,抜き,0.0
20250811,23,4R,6,1.0,0.21,抜き,1.0
20250811,23,5R,1,1.0,0.06,逃げ,1.0
20250811,23,5R,2,2.0,0.06,逃げ,0.0
20250811,23,5R,3,4.0,0.1,逃げ,0.0
20250811,23,5R,4,5.0,0.06,逃げ,0.0
20250811,23,5R,5,3.0,0.09,逃げ,0.0
20250811,23,5R,6,6.0,0.09,逃げ,0.0
20250811,23,6R,1,1.0,0.14,逃げ,1.0
20250811,23,6R,2,2.0,0.14,逃げ,0.0
20250811,23,6R,3,6.0,0.19,逃げ,0.0
20250811,23,6R,4,3.0,0.24,逃げ,0.0
20250811,23,6R,5,4.0,0.34,逃げ,0.0
20250811,23,6R,6,5.0,0.42,逃げ,0.0
20250811,23,7R,1,2.0,0.17,まくり差し,0.0
20250811,23,7R,2,4.0,0.16,まくり差し,0.0
20250811,23,7R,3,1.0,0.13,まくり差し,1.0
20250811,23,7R,4,3.0,0.22,まくり差し,0.0
20250811,23,7R,5,5.0,0.14,まくり差し,0.0
20250811,23,7R,6,6.0,0.23,まくり差し,0.0
20250811,23,8R,1,4.0,0.19,まくり,0.0
20250811,23,8R,2,1.0,0.03,まくり,1.0
20250811,23,8R,3,3.0,0.1,まくり,0.0
20250811,23,8R,4,2.0,0.11,まくり,0.0
20250811,23,8R,5,5.0,0.12,まくり,0.0
20250811,23,8R,6,6.0,0.21,まくり,0.0
20250811,23,9R,1,5.0,0.89,まくり差し,0.0
20250811,23,9R,2,4.0,0.43,まくり差し,0.0
20250811,23,9R,3,2.0,0.28,まくり差し,0.0
20250811,23,9R,4,3.0,0.41,まくり差し,0.0
20250811,23,9R,5,1.0,0.28,まくり差し,1.0
20250811,23,9R,6,,0.22,まくり差し,
20250811,23,10R,1,2.0,0.08,差し,0.0
20250811,23,10R,2,1.0,0.05,差し,1.0
20250811,23,10R,3,6.0,0.06,差し,0.0
20250811,23,10R,4,3.0,0.15,差し,0.0
20250811,23,10R,5,4.0,0.14,差し,0.0
20250811,23,10R,6,5.0,0.12,差し,0.0
20250811,23,11R,1,4.0,0.11,まくり差し,0.0
20250811,23,11R,2,1.0,0.08,まくり差し,1.0
20250811,23,11R,3,3.0,0.08,まくり差し,0.0
20250811,23,11R,4,2.0,0.14,まくり差し,0.0
20250811,23,11R,5,6.0,0.12,まくり差し,0.0
20250811,23,11R,6,5.0,0.16,まくり差し,0.0
20250811,23,12R,1,1.0,0.06,逃げ,1.0
20250811,23,12R,2,2.0,0.06,逃げ,0.0
20250811,23,12R,3,6.0,0.09,逃げ,0.0
20250811,23,12R,4,3.0,0.13,逃げ,0.0
20250811,23,12R,5,4.0,0.11,逃げ,0.0
20250811,23,12R,6,5.0,0.12,逃げ,0.0
