date,pid,race,lane,rank,st,decision,win
20250814,19,1R,1,1.0,0.17,逃げ,1.0
20250814,19,1R,2,2.0,0.12,逃げ,0.0
20250814,19,1R,3,3.0,0.12,逃げ,0.0
20250814,19,1R,4,5.0,0.12,逃げ,0.0
20250814,19,1R,5,4.0,0.09,逃げ,0.0
20250814,19,1R,6,6.0,0.12,逃げ,0.0
20250814,19,2R,1,1.0,0.18,逃げ,1.0
20250814,19,2R,2,2.0,0.21,逃げ,0.0
20250814,19,2R,3,4.0,0.27,逃げ,0.0
20250814,19,2R,4,5.0,0.27,逃げ,0.0
20250814,19,2R,5,3.0,0.19,逃げ,0.0
20250814,19,2R,6,6.0,0.27,逃げ,0.0
20250814,19,3R,1,3.0,0.17,抜き,0.0
20250814,19,3R,2,4.0,0.14,抜き,0.0
20250814,19,3R,3,5.0,0.24,抜き,0.0
20250814,19,3R,4,2.0,0.19,抜き,0.0
20250814,19,3R,5,6.0,0.18,抜き,0.0
20250814,19,3R,6,1.0,0.16,抜き,1.0
20250814,19,4R,1,4.0,0.12,差し,0.0
20250814,19,4R,2,1.0,0.06,差し,1.0
20250814,19,4R,3,5.0,0.14,差し,0.0
20250814,19,4R,4,2.0,0.11,差し,0.0
20250814,19,4R,5,6.0,0.13,差し,0.0
20250814,19,4R,6,3.0,0.05,差し,0.0
20250814,19,5R,1,1.0,0.12,逃げ,1.0
20250814,19,5R,2,5.0,0.13,逃げ,0.0
20250814,19,5R,3,2.0,0.08,逃げ,0.0
20250814,19,5R,4,3.0,0.13,逃げ,0.0
20250814,19,5R,5,4.0,0.12,逃げ,0.0
20250814,19,5R,6,6.0,0.2,逃げ,0.0
20250814,19,6R,1,1.0,0.12,逃げ,1.0
20250814,19,6R,2,4.0,0.22,逃げ,0.0
20250814,19,6R,3,3.0,0.14,逃げ,0.0
20250814,19,6R,4,,0.21,逃げ,
20250814,19,6R,5,2.0,0.23,逃げ,0.0
20250814,19,6R,6,5.0,0.25,逃げ,0.0
20250814,19,7R,1,1.0,0.09,逃げ,1.0
20250814,19,7R,2,3.0,0.17,逃げ,0.0
20250814,19,7R,3,2.0,0.13,逃げ,0.0
20250814,19,7R,4,4.0,0.21,逃げ,0.0
20250814,19,7R,5,6.0,0.17,逃げ,0.0
20250814,19,7R,6,5.0,0.19,逃げ,0.0
20250814,19,8R,1,2.0,0.15,まくり差し,0.0
20250814,19,8R,2,6.0,0.22,まくり差し,0.0
20250814,19,8R,3,1.0,0.15,まくり差し,1.0
20250814,19,8R,4,3.0,0.09,まくり差し,0.0
20250814,19,8R,5,4.0,0.11,まくり差し,0.0
20250814,19,8R,6,5.0,0.13,まくり差し,0.0
20250814,19,9R,1,1.0,0.08,逃げ,1.0
20250814,19,9R,2,6.0,0.11,逃げ,0.0
20250814,19,9R,3,3.0,0.12,逃げ,0.0
20250814,19,9R,4,4.0,0.11,逃げ,0.0
20250814,19,9R,5,5.0,0.13,逃げ,0.0
20250814,19,9R,6,2.0,0.09,逃げ,0.0
20250814,19,10R,1,1.0,0.13,逃げ,1.0
20250814,19,10R,2,2.0,0.11,逃げ,0.0
20250814,19,10R,3,3.0,0.09,逃げ,0.0
20250814,19,10R,4,6.0,0.24,逃げ,0.0
20250814,19,10R,5,5.0,0.17,逃げ,0.0
20250814,19,10R,6,4.0,0.25,逃げ,0.0
20250814,19,11R,1,1.0,0.19,逃げ,1.0
20250814,19,11R,2,5.0,0.3,逃げ,0.0
20250814,19,11R,3,6.0,0.27,逃げ,0.0
20250814,19,11R,4,2.0,0.18,逃げ,0.0
20250814,19,11R,5,4.0,0.07,逃げ,0.0
20250814,19,11R,6,3.0,0.13,逃げ,0.0
20250814,19,12R,1,1.0,0.29,逃げ,1.0
20250814,19,12R,2,6.0,0.33,逃げ,0.0
20250814,19,12R,3,3.0,0.31,逃げ,0.0
20250814,19,12R,4,4.0,0.22,逃げ,0.0
20250814,19,12R,5,2.0,0.21,逃げ,0.0
20250814,19,12R,6,5.0,0.14,逃げ,0.0
