date,pid,race,bets,stake,payout,hit,hit_combo
20250809,02,10R,27,2700,0,0,2-5-4
20250809,02,11R,29,2900,1730,1,1-6-4
20250809,02,12R,40,4000,1020,1,1-3-2
20250809,02,1R,40,4000,0,0,1-2-5
20250809,02,2R,40,4000,0,0,4-3-5
20250809,02,3R,27,2700,1650,1,4-2-1
20250809,02,4R,40,4000,1500,1,4-5-2
20250809,02,5R,32,3200,0,0,1-6-3
20250809,02,6R,27,2700,2030,1,2-3-5
20250809,02,7R,22,2200,750,1,1-2-3
20250809,02,8R,40,4000,3090,1,2-6-1
20250809,02,9R,40,4000,1440,1,1-4-3
20250809,04,10R,40,4000,520,1,1-3-4
20250809,04,11R,21,2100,2360,1,1-4-2
20250809,04,12R,35,3500,9340,1,1-6-4
20250809,04,1R,33,3300,1170,1,1-3-2
20250809,04,2R,31,3100,640,1,1-3-4
20250809,04,3R,40,4000,0,0,5-4-3
20250809,04,4R,36,3600,890,1,2-3-6
20250809,04,5R,40,4000,10600,1,2-4-5
20250809,04,6R,40,4000,3160,1,5-4-1
20250809,04,7R,18,1800,2190,1,4-3-2
20250809,04,8R,27,2700,1260,1,4-1-5
20250809,04,9R,40,4000,0,0,6-2-1
20250809,06,10R,39,3900,1180,1,1-2-3
20250809,06,11R,40,4000,0,0,4-1-6
20250809,06,12R,37,3700,0,0,1-4-3
20250809,06,1R,40,4000,0,0,1-5-3
20250809,06,2R,40,4000,8000,1,2-3-6
20250809,06,3R,40,4000,3120,1,2-1-5
20250809,06,4R,40,4000,2880,1,2-1-4
20250809,06,5R,29,2900,1030,1,1-2-3
20250809,06,6R,40,4000,1190,1,1-2-5
20250809,06,7R,32,3200,0,0,1-4-3
20250809,06,8R,40,4000,8390,1,3-2-5
20250809,06,9R,38,3800,5380,1,1-6-2
20250809,07,10R,32,3200,1290,1,1-3-4
20250809,07,11R,40,4000,0,0,1-3-4
20250809,07,12R,36,3600,1230,1,1-2-4
20250809,07,1R,26,2600,0,0,1-4-3
20250809,07,2R,40,4000,1150,1,1-2-3
20250809,07,3R,40,4000,0,0,4-5-6
20250809,07,4R,40,4000,3840,1,2-6-1
20250809,07,5R,40,4000,0,0,2-6-5
20250809,07,6R,30,3000,0,0,5-3-6
20250809,07,7R,31,3100,1470,1,1-2-4
20250809,07,8R,25,2500,2420,1,2-3-1
20250809,07,9R,38,3800,1750,1,1-4-3
20250809,09,10R,33,3300,2610,1,1-6-2
20250809,09,11R,40,4000,790,1,1-2-5
20250809,09,12R,40,4000,2960,1,3-2-4
20250809,09,1R,28,2800,3100,1,1-4-2
20250809,09,2R,40,4000,990,1,3-4-2
20250809,09,3R,40,4000,1010,1,1-3-4
20250809,09,4R,26,2600,0,0,5-1-3
20250809,09,5R,40,4000,980,1,1-2-3
20250809,09,6R,24,2400,1910,1,1-3-4
20250809,09,7R,13,1300,0,0,1-2-6
20250809,09,8R,37,3700,4290,1,1-6-5
20250809,09,9R,28,2800,0,0,3-2-5
20250809,13,10R,40,4000,1600,1,1-2-5
20250809,13,11R,38,3800,1510,1,1-3-5
20250809,13,12R,40,4000,1420,1,1-3-2
20250809,13,1R,40,4000,23310,1,4-1-2
20250809,13,2R,32,3200,0,0,4-1-5
20250809,13,3R,40,4000,3100,1,1-2-5
20250809,13,4R,40,4000,2270,1,1-2-5
20250809,13,5R,23,2300,2430,1,1-5-3
20250809,13,6R,27,2700,2890,1,1-2-5
20250809,13,7R,33,3300,1850,1,2-1-3
20250809,13,8R,30,3000,0,0,4-5-1
20250809,13,9R,36,3600,0,0,3-1-5
20250809,14,10R,40,4000,0,0,1-4-5
20250809,14,11R,31,3100,0,0,3-5-4
20250809,14,12R,40,4000,0,0,2-6-5
