date,pid,race,lane,rank,st,decision,win
20250811,22,1R,1,1.0,0.18,逃げ,1.0
20250811,22,1R,2,2.0,0.13,逃げ,0.0
20250811,22,1R,3,4.0,0.17,逃げ,0.0
20250811,22,1R,4,5.0,0.12,逃げ,0.0
20250811,22,1R,5,,0.31,逃げ,
20250811,22,1R,6,3.0,0.25,逃げ,0.0
20250811,22,2R,1,3.0,0.21,まくり,0.0
20250811,22,2R,2,6.0,0.36,まくり,0.0
20250811,22,2R,3,2.0,0.18,まくり,0.0
20250811,22,2R,4,4.0,0.15,まくり,0.0
20250811,22,2R,5,5.0,0.11,まくり,0.0
20250811,22,2R,6,1.0,0.11,まくり,1.0
20250811,22,3R,1,5.0,0.09,まくり差し,0.0
20250811,22,3R,2,4.0,0.17,まくり差し,0.0
20250811,22,3R,3,2.0,0.06,まくり差し,0.0
20250811,22,3R,4,1.0,0.08,まくり差し,1.0
20250811,22,3R,5,3.0,0.12,まくり差し,0.0
20250811,22,3R,6,6.0,0.11,まくり差し,0.0
20250811,22,4R,1,6.0,0.12,差し,0.0
20250811,22,4R,2,4.0,0.11,差し,0.0
20250811,22,4R,3,2.0,0.09,差し,0.0
20250811,22,4R,4,1.0,0.09,差し,1.0
20250811,22,4R,5,5.0,0.12,差し,0.0
20250811,22,4R,6,3.0,0.08,差し,0.0
20250811,22,5R,1,1.0,0.14,逃げ,1.0
20250811,22,5R,2,2.0,0.18,逃げ,0.0
20250811,22,5R,3,5.0,0.2,逃げ,0.0
20250811,22,5R,4,4.0,0.21,逃げ,0.0
20250811,22,5R,5,3.0,0.31,逃げ,0.0
20250811,22,5R,6,6.0,0.25,逃げ,0.0
20250811,22,6R,1,5.0,0.16,抜き,0.0
20250811,22,6R,2,2.0,0.31,抜き,0.0
20250811,22,6R,3,1.0,0.15,抜き,1.0
20250811,22,6R,4,4.0,0.21,抜き,0.0
20250811,22,6R,5,6.0,0.22,抜き,0.0
20250811,22,6R,6,3.0,0.21,抜き,0.0
20250811,22,7R,1,1.0,0.17,逃げ,1.0
20250811,22,7R,2,2.0,0.24,逃げ,0.0
20250811,22,7R,3,6.0,0.12,逃げ,0.0
20250811,22,7R,4,3.0,0.17,逃げ,0.0
20250811,22,7R,5,5.0,0.17,逃げ,0.0
20250811,22,7R,6,4.0,0.21,逃げ,0.0
20250811,22,8R,1,3.0,0.17,抜き,0.0
20250811,22,8R,2,4.0,0.36,抜き,0.0
20250811,22,8R,3,5.0,0.17,抜き,0.0
20250811,22,8R,4,6.0,0.65,抜き,0.0
20250811,22,8R,5,1.0,0.15,抜き,1.0
20250811,22,8R,6,2.0,0.15,抜き,0.0
20250811,22,9R,1,1.0,0.16,逃げ,1.0
20250811,22,9R,2,5.0,0.17,逃げ,0.0
20250811,22,9R,3,2.0,0.14,逃げ,0.0
20250811,22,9R,4,4.0,0.22,逃げ,0.0
20250811,22,9R,5,6.0,0.34,逃げ,0.0
20250811,22,9R,6,3.0,0.16,逃げ,0.0
20250811,22,10R,1,1.0,0.17,逃げ,1.0
20250811,22,10R,2,2.0,0.14,逃げ,0.0
20250811,22,10R,3,5.0,0.17,逃げ,0.0
20250811,22,10R,4,3.0,0.16,逃げ,0.0
20250811,22,10R,5,6.0,0.16,逃げ,0.0
20250811,22,10R,6,4.0,0.17,逃げ,0.0
20250811,22,11R,1,6.0,0.12,まくり,0.0
20250811,22,11R,2,3.0,0.16,まくり,0.0
20250811,22,11R,3,1.0,0.17,まくり,1.0
20250811,22,11R,4,4.0,0.19,まくり,0.0
20250811,22,11R,5,5.0,0.13,まくり,0.0
20250811,22,11R,6,2.0,0.23,まくり,0.0
20250811,22,12R,1,2.0,0.07,まくり,0.0
20250811,22,12R,2,3.0,0.12,まくり,0.0
20250811,22,12R,3,6.0,0.11,まくり,0.0
20250811,22,12R,4,4.0,0.11,まくり,0.0
20250811,22,12R,5,1.0,0.03,まくり,1.0
20250811,22,12R,6,5.0,0.09,まくり,0.0
