date,jcd,race,combo,F,S,T,odds,popularity_rank,is_win,lane_1_name,lane_2_name,lane_3_name,lane_4_name,lane_5_name,lane_6_name,weather,temperature,windSpeed,windDirection,waterTemperature,waveHeight
20250811,01,10R,1-2-4,1,2,4,7.3,1,0,長谷川 晴哉,大澤 普司,蜂須 瑞生,本橋 克洋,富澤 祐作,中田 友也,雨,27.0,0.0,,29.0,0.0
20250811,01,10R,1-2-3,1,2,3,8.6,2,0,長谷川 晴哉,大澤 普司,蜂須 瑞生,本橋 克洋,富澤 祐作,中田 友也,雨,27.0,0.0,,29.0,0.0
20250811,01,10R,1-2-5,1,2,5,11.5,3,0,長谷川 晴哉,大澤 普司,蜂須 瑞生,本橋 克洋,富澤 祐作,中田 友也,雨,27.0,0.0,,29.0,0.0
20250811,01,10R,1-4-2,1,4,2,14.8,4,0,長谷川 晴哉,大澤 普司,蜂須 瑞生,本橋 克洋,富澤 祐作,中田 友也,雨,27.0,0.0,,29.0,0.0
20250811,01,10R,1-3-2,1,3,2,16.4,5,0,長谷川 晴哉,大澤 普司,蜂須 瑞生,本橋 克洋,富澤 祐作,中田 友也,雨,27.0,0.0,,29.0,0.0
20250811,01,10R,2-1-4,2,1,4,17.8,6,0,長谷川 晴哉,大澤 普司,蜂須 瑞生,本橋 克洋,富澤 祐作,中田 友也,雨,27.0,0.0,,29.0,0.0
20250811,01,10R,1-5-2,1,5,2,20.7,7,0,長谷川 晴哉,大澤 普司,蜂須 瑞生,本橋 克洋,富澤 祐作,中田 友也,雨,27.0,0.0,,29.0,0.0
20250811,01,10R,1-3-4,1,3,4,25.5,8,1,長谷川 晴哉,大澤 普司,蜂須 瑞生,本橋 克洋,富澤 祐作,中田 友也,雨,27.0,0.0,,29.0,0.0
20250811,01,10R,2-1-3,2,1,3,26.7,9,0,長谷川 晴哉,大澤 普司,蜂須 瑞生,本橋 克洋,富澤 祐作,中田 友也,雨,27.0,0.0,,29.0,0.0
20250811,01,10R,2-1-5,2,1,5,28.3,10,0,長谷川 晴哉,大澤 普司,蜂須 瑞生,本橋 克洋,富澤 祐作,中田 友也,雨,27.0,0.0,,29.0,0.0
20250811,01,10R,1-3-5,1,3,5,28.4,11,0,長谷川 晴哉,大澤 普司,蜂須 瑞生,本橋 克洋,富澤 祐作,中田 友也,雨,27.0,0.0,,29.0,0.0
